id_transaccion,usuario,fecha,categoria,monto,descripcion
1,Ruben Perez,2026-07-27 00:00:00,Compras,1211.8,Bien tengo características político estas.
2,Ruben Perez,2026-06-20 00:00:00,Transporte,447.31,Este pasó g algunos psoe.
3,Ruben Perez,2026-09-10 00:00:00,Servicios,508.92,Principio tiene quiero.
4,Ruben Perez,2026-07-22 00:00:00,Compras,336.67,Instituciones solamente estados.
5,Ruben Perez,2026-07-16 00:00:00,Comida,456.98,Presencia cara relación palabra.
6,Ruben Perez,2026-05-22 00:00:00,Transporte,245.01,Políticos aquella jóvenes.
7,Ruben Perez,2026-09-04 00:00:00,Entretenimiento,315.15,Interés podría presencia región.
8,Ruben Perez,2026-07-01 00:00:00,Servicios,1617.06,Estamos historia cierto.
9,Ruben Perez,2026-09-11 00:00:00,Comida,280.9,De calidad sectores ha sean primero.
10,Ruben Perez,2026-07-11 00:00:00,Entretenimiento,722.64,Dijo esta fuerza tema solamente.
11,Ruben Perez,2026-06-03 00:00:00,Compras,1103.36,Estados problema momento.
12,Ruben Perez,2026-06-24 00:00:00,Compras,1250.17,Políticas objetivo españa zonas siendo fácil.
13,Ruben Perez,2026-08-23 00:00:00,Transporte,428.34,En bajo estuvo trabajo.
14,Ruben Perez,2026-06-10 00:00:00,Otros,999.26,Comunidad ni obra debido menor principal.
15,Ruben Perez,2026-06-29 00:00:00,Comida,156.18,Necesidad momento él.
16,Ruben Perez,2026-07-16 00:00:00,Entretenimiento,383.37,Solamente servicios rosa nuevo nada afirmó.
17,Ruben Perez,2026-06-07 00:00:00,Otros,687.02,Mayoría rafael miguel.
18,Ruben Perez,2026-09-08 00:00:00,Comida,513.93,Buscar realidad madrid participación estamos mujer.
19,Ruben Perez,2026-07-09 00:00:00,Entretenimiento,693.72,Programa distintas asimismo.
20,Ruben Perez,2026-05-19 00:00:00,Transporte,235.86,Estaba último juego ejemplo distintos.
21,Ruben Perez,2026-06-25 00:00:00,Renta,9920.88,Tal larga alrededor unidad todas efecto.
22,Ruben Perez,2026-06-27 00:00:00,Comida,563.96,Materia civil mis presencia él.
23,Ruben Perez,2026-05-29 00:00:00,Comida,228.65,Cuanto información imposible lo tipo.
24,Ruben Perez,2026-09-08 00:00:00,Servicios,977.94,Pequeño vino pensar.
25,Ruben Perez,2026-06-12 00:00:00,Entretenimiento,674.69,Semanas que presidente embargo.
26,Ruben Perez,2026-06-23 00:00:00,Transporte,440.22,Especial medida muchas octubre allí.
27,Ruben Perez,2026-07-02 00:00:00,Transporte,413.99,Cabo cuya exterior del haya.
28,Ruben Perez,2026-06-29 00:00:00,Salud,296.66,Cada mes este.
29,Ruben Perez,2026-07-22 00:00:00,Transporte,66.36,Joven conjunto da tarde rafael siendo.
30,Ruben Perez,2026-07-29 00:00:00,Compras,786.11,Adelante todavía al todos.
31,Ruben Perez,2026-07-20 00:00:00,Comida,227.7,Vez tenido medios niños señor.
32,Ruben Perez,2026-08-05 00:00:00,Compras,2264.51,Europea sería pocos actividad.
33,Ruben Perez,2026-07-13 00:00:00,Salud,1521.23,Necesidad haya sería sino.
34,Ruben Perez,2026-07-26 00:00:00,Servicios,1768.02,Luz ii calidad.
35,Ruben Perez,2026-05-29 00:00:00,Comida,431.37,Personal instituciones juicio.
36,Ruben Perez,2026-06-07 00:00:00,Transporte,302.65,Haciendo diversos habían trabajadores miedo.
37,Ruben Perez,2026-06-03 00:00:00,Otros,669.87,Camino fuerte bajo tampoco.
38,Ruben Perez,2026-05-25 00:00:00,Transporte,340.8,Sí toda dice finalmente.
